Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Greg Allen#,27.0,32.0,OF,-0.4,7,14,14,1,0,0,0,0,0,0,1,0,5,0.0,0.0,0.0,0.0,-100.0,-0.035,-127.0,0,2,0,0,0,0,/87H,,allengr01
Ryan Noda*,28.0,29.0,RF,0.0,7,14,13,0,2,0,0,0,1,1,0,1,6,0.154,0.214,0.154,0.368,7.0,0.156,-37.0,2,0,0,0,0,1,/9HD,,nodary01
Vimael Machín*,29.0,31.0,3B,0.1,4,12,11,1,1,0,0,1,1,0,0,1,2,0.091,0.167,0.364,0.53,44.0,0.225,37.0,4,0,0,0,0,0,/5,,machivi01
Jordyn Adams,30.0,25.0,OF,-0.1,10,5,5,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,-125.0,0,0,0,0,0,0,/89H,,adamsjo03
David Bañuelos,31.0,28.0,DH,0.0,1,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,61.0,0.358,135.0,0,0,1,0,0,0,/DH,,banueda01
Cooper Hummel#,32.0,30.0,RF,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0,0,0,0,0,0,/9,,hummeco01
Vidal Bruján#,33.0,27.0,CF,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,471.0,0.889,536.0,1,0,0,0,0,0,/8,,brujavi01
Terrin Vavra*,34.0,28.0,2B,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-136.0,0,0,0,0,0,0,/4H,,vavrate01
Trevor Rogers*,35.0,27.0,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,-122.0,0,0,0,0,0,0,1,CYA-9,rogertr01
Andrew Kittredge,36.0,35.0,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kittran01
